id,extracted_words
87131,"['dry', 'creek', 'zin', 'robust', 'dry', 'spicy', 'sour', 'cherry', 'candy', 'red', 'currants', 'blueberries', 'tart', 'raisins', 'peppery', 'spices', 'barbecue']"
57952,"['herbaceous', 'thin', 'soft', 'lightweight', 'lemon', 'zest', 'ready', 'to', 'drink']"
96046,"['raspberry', 'strawberry', 'floral', 'notes', 'delicate', 'wine', 'sweet', 'good', 'acidity']"
31920,"['dry-farmed', 'vineyard', 'wild', 'yeast', 'minimal', 'new', 'french', 'oak', 'petite', 'leathery', 'tannins', 'crowd', 'pleaser', 'blackberries', 'coffee', 'pepper']"
6091,"['annapolis', 'dark', 'grape', 'cherry', 'flavor', 'cinnamon', 'black', 'peppercorn', 'light-bodied', 'ethereally', 'layered', 'rustic', 'earthiness', 'leather']"
101129,"['cabernet', 'cab', 'franc', 'syrah', 'blend', 'funky', 'meaty', 'juicy', 'black', 'fruit', 'toasted', 'oak', 'wood', 'austere', 'overcharred']"
53584,"['taurasi', 'fatica', 'contadina', 'wine', 'spice', 'dark', 'fruit', 'tobacco', 'cigar', 'austere', 'tightly', 'structured']"
61538,"['walla', 'walla', 'les', 'collines', 'vineyard', 'syrah', 'strawberry', 'cherry', 'chocolate', 'forward', 'flavorful', 'cellar']"
61984,"['viognier', 'dry', 'zesty', 'acidity', 'citrus', 'peach', 'kumquat', 'white', 'pepper', 'chamomile', 'honey']"
16517,"['sauvignon', 'blanc', 'crisp', 'refreshing', 'stainless', 'steel', 'citrus', 'green', 'grass', 'minerals', 'flowers', 'drinkable', 'bone-dry']"
24901,"['shafer', '2010', 'proprietary', 'bottling', 'petite', 'verdot', 'blackberry', 'jam', 'black', 'currant', 'dark', 'chocolate', 'sweet', 'oak', '20', 'months', '100%', 'new', 'french', 'oak', 'barrels', 'balance', 'age', '2018']"
62631,"['sangiovese', 'cabernet', 'sauvignon', 'colorino', 'organically', 'farmed', 'ripe', 'fruit', 'prune', 'plum', 'leather', 'tobacco', 'exotic', 'spice', 'firm', 'well', 'structured', 'velvety', 'tannins']"
2544,"['blue', 'flower', 'black-skinned', 'fruit', 'mediterranean', 'scrub', 'juicy', 'black', 'cherry', 'ground', 'pepper', 'young', 'drinking', 'wine']"
67123,"['villa', 'al', 'cortile', 'riserva', 'bright', 'clean', 'linear', 'spice', 'blackberry', 'leather', 'tobacco', 'hearty', 'meat', 'dinner', 'velvety', 'soft', 'texture']"
28494,"['columbia', 'valley', 'rattlesnake', 'hills', 'ava', 'girly', 'girl', 'cassis', 'berry', 'black', 'olive', 'herb', 'forest', 'floor', 'decaying', 'leaves']"
34039,"['2009', 'vintage', 'marsanne', 'grenache', 'blanc', 'picpoul', 'roussanne', 'complex', 'rich', 'dense', 'stone', 'fruit', 'flavors', 'tropical', 'fruit', 'flavors', 'caramel', 'nougat', 'marshmallow', 'spice', 'young', 'longevity']"
52991,"['nero', ""d'avola"", 'syrah', 'merlot', 'cabernet', 'sauvignon', 'campobello', 'entry-level', 'red', 'fruit', 'flavors', 'freshness']"
4313,"['cigar', 'box', 'green', 'herbs', 'woodspice', 'medium', 'bodied', 'coffee', 'nori', 'smoke-filled', 'finish']"
23629,"['sparkling', 'wine', 'vanilla', 'lime', 'strawberry', 'yeast', 'flavorful', 'everyday']"
80022,"['charmes', 'vineyard', 'approachable', 'friendly', 'steel', 'fist', 'wine']"
40101,"['pinot', 'noir', 'dry', 'cherry-cola', 'flavors']"
71780,"['zin', 'currants', 'tobacco', 'pepper', 'cocoa', 'tannins', 'acidity', 'soft', 'mouthfeel', 'elegant', 'wine']"
23503,"['josh', 'baker', 'matt', 'brain', 'fresh', 'ripe', 'raspberry', 'cranberry-skin', 'tartness', 'blood', 'pencil', 'shavings', 'eucalyptus', 'vanilla', 'stick', 'appellation', 'blend', 'lively', 'tart', 'red', 'fruits', 'juicy', 'chaparral', 'scrub', 'elements.']"
49705,"['bordeaux', 'blend', 'fruity', 'rich', 'blackberries', 'cherries', 'red', 'currants', 'black', 'currants', 'sweet', 'oak', 'smoky', 'oak', 'firm', 'tannins', 'finely', 'ground', 'tannins', 'youth', 'aging', 'potential', '4–6', 'years']"
48057,"['white', 'hermitage', 'golden', 'straw', 'color', 'richness', 'honey', 'butterscotch', 'unctuous', 'grilled', 'nuts', 'stone', 'fruits', 'warmth']"
33607,"['bordeaux', 'blend', 'steven', 'kent', 'winery', 'steven', 'kent', 'mirassou', 'california', 'winemaking', 'livermore', 'cabernet', 'cassis', 'black', 'cherry', 'cab', 'franc', 'herbal', 'notes', 'petit', 'verdot', 'malbec', 'merlot', 'tannic', 'spice', 'first', 'release', 'new', 'brand', 'name.']"
58284,"['dry', 'minerality', 'elegant', 'rosé', 'strawberry', 'cherry', 'plum', 'sharp', 'acidity', 'lime-tinged', 'wildflower', 'drink', 'now']"
