id,country,description,Fruity Favour,Spicy Favour,Earthy Favour,Floral Favour,Oaky Favour,Nutty Favour,Herbal Favour,Mineral Favour,Sweet Favour,Body (Weight/Texture),Acidity,Sweetness Level,Alcohol Level (Perception),Ageability,Food Pairing / Occasions,Tannins,Region/Terroir,Color,Finish,Aging Method,Climate Characteristics,Intensity/Aroma,Style,Unique/Standout Notes
87131,US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",berry,pepper,,,,,,,,full-bodied,high acidity,dry,medium,ready to drink,barbecue,medium tannins,,,,,warm climate,intense,,zesty
57952,France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",citrus,,,,,,,,,light-bodied,low acidity,dry,light,ready to drink,aperitif,low tannins,,,,,cool climate,subtle,modern,zesty
96046,US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",berry,,,,,,,,,light-bodied,medium acidity,sweet,medium,ready to drink,dessert pairing,,,,,,,subtle,,perfumed
31920,US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",berry,pepper,leather,,toast,,,,,full-bodied,,dry,,needs aging,dinner,chewy,,,,oak barrel,,pronounced,natural,
6091,US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",,cinnamon,leather,,,,,,,light-bodied,,,light,needs aging,dinner,,coastal,,,,cool climate,pronounced,traditional,exotic
101129,US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",berry,,,,toast,,,,,full-bodied,,dry,,needs aging,barbecue,high tannins,,,,oak barrel,,pronounced,modern,meaty
53584,Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",,,,,smoke,,,,,full-bodied,,dry,high,needs aging,dinner,high tannins,,deep,,,,intense,traditional,smoky
61538,US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",berry,,,,,,,,,full-bodied,,,medium,needs aging,dinner,,,,,,,pronounced,,
61984,US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",peach,pepper,,honeysuckle,,,,,honey,medium-bodied,zesty,dry,,ready to drink,,,,golden,,,cool climate,pronounced,,zesty
16517,US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",citrus,,,,,,,,,light-bodied,crisp,bone dry,light,ready to drink,aperitif,low tannins,mineral,straw,crisp,stainless steel,cool climate,pronounced,modern,zesty
24901,US,"This proprietary bottling from Shafer is always a huge wine. The 2010, which contains a splash of Petite Verdot, is gigantically packed with blackberry jam, black currant, dark chocolate and sweet oak, courtesy of 20 months in 100% new French oak barrels. The wine is a bit of a bully now, but it has the balance to age. Give it until 2018.",berry,,,,oak,,,,,full-bodied,,,high,needs aging,dinner,high tannins,,deep,,oak barrel,warm climate,intense,modern,
62631,Italy,"Made with organically farmed fruit, this blend of Sangiovese, Cabernet Sauvignon and Colorino opens with an inky, dark color and savory aromas of ripe fruit, prune, plum, leather, tobacco and exotic spice. It's firm and well structured, with a velvety feel to the tannins.",plum,,leather,,,,,,,full-bodied,,,,needs aging,dinner,velvety,,deep,,,,intense,organic,exotic
2544,Italy,"Aromas of blue flower, black-skinned fruit and a whiff of Mediterranean scrub meld in the glass. The chewy, straightforward palate doles out juicy black cherry and ground pepper. It's made to drink young so enjoy soon.",berry,pepper,,violet,,,,,,medium-bodied,medium acidity,dry,,ready to drink,casual,chewy,,,,no oak,warm climate,pronounced,,perfumed
67123,Italy,"Bright, clean and linear with pretty accents of spice, blackberry, leather and lingering tobacco, Villa al Cortile Riserva is the kind of wine you'll want to pair with a hearty meat dinner. The wine shows velvety, soft texture in the mouth.",berry,,leather,,,,,,,silky,,dry,,needs aging,dinner,velvety,,,long,,,pronounced,traditional,
28494,US,"Though labeled simply Columbia Valley, the grapes are single vineyard, Rattlesnake Hills AVA fruit. The best of the Girly Girl lineup, though the promising beginning (cassis and berry, scented with black olive and herb) quickly fades into a forest floor finale of decaying leaves.",berry,,forest floor,,,,sage,,,,,,,needs aging,dinner,,,,short,,,pronounced,,exotic
34039,US,"The 2009 vintage blend is 41% Marsanne, 42% Grenache Blanc, 10% Picpoul and 7% Roussanne. Complex, rich and dense, it wraps its stone and tropical fruit flavors in layers of caramel, nougat, marshmallow and spice. Still quite young, with plenty of years of life ahead.",tropical fruit,,,,,,,,caramel,full-bodied,,,medium,long-term aging potential,,,,,,,,intense,,exotic
52991,Italy,"A blend of Nero d'Avola, Syrah, Merlot and Cabernet Sauvignon, Campobello's entry-level red is slightly muddled, but it does a good job of offering genuine fruit flavors and overall freshness.",berry,,,,,,,,,medium-bodied,medium acidity,,,ready to drink,casual,,,,,,,muted,,
4313,US,"This unusual wine displays notes of cigar box, strong green herbs and woodspice. It drinks on the lighter side of medium bodied with coffee and nori flavors and a smoke-filled finish.",,,,,smoke,,,,,medium-bodied,,,medium,,,,,,long,oak barrel,,pronounced,,smoky
23629,US,"A bit rough in texture, but otherwise pretty flavorful, with vanilla, lime, strawberry and yeast flavors. It's a great sparkling wine for everyday.",berry,,,,vanilla,,,,,medium-bodied,medium acidity,dry,,ready to drink,casual,,,,,,,pronounced,modern,zesty
80022,France,"It's not a bad name for this vineyard—Charmes. This wine, which expresses the nature of the vineyard, is certainly approachable, friendly almost. But there's also a steel fist there that demands time. And if you can't wait, it's a great wine to drink now.",,,,,,,,,,medium-bodied,,,,needs aging,,medium tannins,,,,,,pronounced,,
40101,US,"Like a photocopy of a photocopy, this thinned-down Pinot Noir contains only a suggestion of the real thing. It's dry, but watery in cherry-cola flavors.",berry,,,,,,,,,light-bodied,low acidity,dry,light,over the hill (past its prime),casual,low tannins,,pale,short,,,muted,modern,
71780,US,"Spicy and dry, this Zin offers flavors of currants, tobacco, pepper and cocoa. The tannins are thick, but acidity is low, giving it a soft mouthfeel. Could be more concentrated, but it's an elegant wine.",,pepper,,,,,,,,medium-bodied,low acidity,dry,medium,ready to drink,dinner,high tannins,,,smooth,,,pronounced,,
